Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
Crazy,investor,6,1,1,1,0,1,1,1,0,6,2,2,2,0,190,false
Normal,investor,6,1,1,1,0,1,1,1,0,6,2,2,2,0,335,true
HighRoller,investor,6,1,1,1,0,1,1,1,0,6,2,2,2,0,235,false
HighRoller,manager,6,1,1,1,0,1,1,1,0,6,2,2,2,0,445,true
Normal,manager,6,1,1,1,0,1,1,1,0,6,2,2,2,0,295,false
Crazy,manager,6,1,1,1,0,1,1,1,0,6,2,2,2,0,370,false
Normal,investor,6,1,0,1,1,1,1,1,0,6,3,0,1,2,425,true
SafeBetter,investor,6,1,0,1,1,1,1,1,0,6,3,0,1,2,280,false
Crazy,investor,6,1,0,1,1,1,1,1,0,6,3,0,1,2,180,false
Normal,manager,6,1,0,1,1,1,1,1,0,6,3,0,1,2,405,false
Crazy,manager,6,1,0,1,1,1,1,1,0,6,3,0,1,2,405,false
HighRoller,manager,6,1,0,1,1,1,1,1,0,6,3,0,1,2,615,true
Crazy,investor,6,1,1,0,1,1,1,1,0,9,3,3,2,1,120,false
HighRoller,investor,6,1,1,0,1,1,1,1,0,9,3,3,2,1,725,true
SafeBetter,investor,6,1,1,0,1,1,1,1,0,9,3,3,2,1,540,false
Crazy,manager,6,1,1,0,1,1,1,1,0,9,3,3,2,1,275,false
HighRoller,manager,6,1,1,0,1,1,1,1,0,9,3,3,2,1,795,true
Normal,manager,6,1,1,0,1,1,1,1,0,9,3,3,2,1,495,false
Crazy,investor,6,1,0,0,2,0,1,1,1,6,3,0,1,2,110,true
SafeBetter,investor,6,1,0,0,2,0,1,1,1,6,3,0,1,2,55,false
SafeBetter,investor,6,1,0,0,2,0,1,1,1,6,3,0,1,2,55,false
HighRoller,manager,6,1,0,0,2,0,1,1,1,6,3,0,1,2,450,true
Normal,manager,6,1,0,0,2,0,1,1,1,6,3,0,1,2,405,false
SafeBetter,manager,6,1,0,0,2,0,1,1,1,6,3,0,1,2,405,false
Normal,investor,6,0,1,2,0,1,1,0,1,3,2,1,0,0,205,false
Normal,investor,6,0,1,2,0,1,1,0,1,3,2,1,0,0,330,true
HighRoller,investor,6,0,1,2,0,1,1,0,1,3,2,1,0,0,285,false
Crazy,manager,6,0,1,2,0,1,1,0,1,3,2,1,0,0,60,false
HighRoller,manager,6,0,1,2,0,1,1,0,1,3,2,1,0,0,360,true
SafeBetter,manager,6,0,1,2,0,1,1,0,1,3,2,1,0,0,60,false
HighRoller,investor,6,0,1,1,1,2,1,0,0,8,1,3,3,1,195,false
Normal,investor,6,0,1,1,1,2,1,0,0,8,1,3,3,1,720,false
SafeBetter,investor,6,0,1,1,1,2,1,0,0,8,1,3,3,1,760,true
Crazy,manager,6,0,1,1,1,2,1,0,0,8,1,3,3,1,545,false
Crazy,manager,6,0,1,1,1,2,1,0,0,8,1,3,3,1,545,false
HighRoller,manager,6,0,1,1,1,2,1,0,0,8,1,3,3,1,845,true
Normal,investor,6,0,0,2,1,0,2,1,0,7,3,0,2,2,45,false
Normal,investor,6,0,0,2,1,0,2,1,0,7,3,0,2,2,10,false
SafeBetter,investor,6,0,0,2,1,0,2,1,0,7,3,0,2,2,185,true
Normal,manager,6,0,0,2,1,0,2,1,0,7,3,0,2,2,340,true
HighRoller,manager,6,0,0,2,1,0,2,1,0,7,3,0,2,2,300,false
HighRoller,manager,6,0,0,2,1,0,2,1,0,7,3,0,2,2,300,false
Crazy,investor,6,3,0,0,0,1,1,0,1,6,3,0,0,3,70,false
Crazy,investor,6,3,0,0,0,1,1,0,1,6,3,0,0,3,110,false
Crazy,investor,6,3,0,0,0,1,1,0,1,6,3,0,0,3,120,true
SafeBetter,manager,6,3,0,0,0,1,1,0,1,6,3,0,0,3,330,true
Crazy,manager,6,3,0,0,0,1,1,0,1,6,3,0,0,3,90,false
HighRoller,manager,6,3,0,0,0,1,1,0,1,6,3,0,0,3,150,false
Normal,investor,6,1,0,1,1,0,1,2,0,3,0,1,1,1,70,false
SafeBetter,investor,6,1,0,1,1,0,1,2,0,3,0,1,1,1,55,false
Crazy,investor,6,1,0,1,1,0,1,2,0,3,0,1,1,1,120,true
Normal,manager,6,1,0,1,1,0,1,2,0,3,0,1,1,1,60,false
Normal,manager,6,1,0,1,1,0,1,2,0,3,0,1,1,1,60,false
HighRoller,manager,6,1,0,1,1,0,1,2,0,3,0,1,1,1,135,true
HighRoller,investor,6,0,2,1,0,1,0,1,1,5,3,1,1,0,15,false
Normal,investor,6,0,2,1,0,1,0,1,1,5,3,1,1,0,175,true
HighRoller,investor,6,0,2,1,0,1,0,1,1,5,3,1,1,0,15,false
Crazy,manager,6,0,2,1,0,1,0,1,1,5,3,1,1,0,135,true
Normal,manager,6,0,2,1,0,1,0,1,1,5,3,1,1,0,135,true
SafeBetter,manager,6,0,2,1,0,1,0,1,1,5,3,1,1,0,135,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,8,2,1,3,2,365,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,8,2,1,3,2,365,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,8,2,1,3,2,365,true
Crazy,manager,6,0,3,0,0,2,0,1,0,8,2,1,3,2,465,true
Normal,manager,6,0,3,0,0,2,0,1,0,8,2,1,3,2,465,true
Crazy,manager,6,0,3,0,0,2,0,1,0,8,2,1,3,2,465,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,5,2,1,1,1,220,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,5,2,1,1,1,220,true
HighRoller,investor,6,0,3,0,0,2,0,1,0,5,2,1,1,1,220,true
Normal,manager,6,0,3,0,0,2,0,1,0,5,2,1,1,1,450,true
Crazy,manager,6,0,3,0,0,2,0,1,0,5,2,1,1,1,225,false
Crazy,manager,6,0,3,0,0,2,0,1,0,5,2,1,1,1,225,false
Normal,investor,6,0,1,1,1,0,2,1,0,5,0,2,1,2,335,false
SafeBetter,investor,6,0,1,1,1,0,2,1,0,5,0,2,1,2,405,false
HighRoller,investor,6,0,1,1,1,0,2,1,0,5,0,2,1,2,515,true
Normal,manager,6,0,1,1,1,0,2,1,0,5,0,2,1,2,375,false
HighRoller,manager,6,0,1,1,1,0,2,1,0,5,0,2,1,2,600,true
HighRoller,manager,6,0,1,1,1,0,2,1,0,5,0,2,1,2,450,false
HighRoller,investor,6,2,1,0,0,2,0,0,1,8,0,2,3,3,-70,false
Crazy,investor,6,2,1,0,0,2,0,0,1,8,0,2,3,3,120,false
Crazy,investor,6,2,1,0,0,2,0,0,1,8,0,2,3,3,220,true
SafeBetter,manager,6,2,1,0,0,2,0,0,1,8,0,2,3,3,75,false
Crazy,manager,6,2,1,0,0,2,0,0,1,8,0,2,3,3,90,false
Crazy,manager,6,2,1,0,0,2,0,0,1,8,0,2,3,3,225,true
Normal,investor,6,2,0,1,0,0,0,0,3,7,2,2,0,3,470,true
Crazy,investor,6,2,0,1,0,0,0,0,3,7,2,2,0,3,140,false
Crazy,investor,6,2,0,1,0,0,0,0,3,7,2,2,0,3,370,false
SafeBetter,manager,6,2,0,1,0,0,0,0,3,7,2,2,0,3,490,false
SafeBetter,manager,6,2,0,1,0,0,0,0,3,7,2,2,0,3,565,true
SafeBetter,manager,6,2,0,1,0,0,0,0,3,7,2,2,0,3,475,false
HighRoller,investor,6,0,2,1,0,0,0,3,0,9,3,0,3,3,60,false
Normal,investor,6,0,2,1,0,0,0,3,0,9,3,0,3,3,355,true
